district,month,year,domestic_visitors,foreign_visitors
YAVATMAL,Nov,2009,110551,0
YAVATMAL,Dec,2009,93510,0
AHMEDNAGAR,January,2010,1427236,225
AHMEDNAGAR,February,2010,1304804,251
AHMEDNAGAR,March,2010,1280891,201
AHMEDNAGAR,April,2010,1288765,303
AHMEDNAGAR,May,2010,1349143,684
AHMEDNAGAR,June,2010,1367555,787
AHMEDNAGAR,July,2010,345039,1109
AHMEDNAGAR,August,2010,746492,1074
AHMEDNAGAR,Sep,2010,784911,1065
AHMEDNAGAR,October,2010,881100,810
AHMEDNAGAR,Nov,2010,899533,673
AHMEDNAGAR,Dec,2010,1246018,702
AKOLA,January,2010,9049,4
AKOLA,February,2010,8917,3
AKOLA,March,2010,8337,0
AKOLA,April,2010,7201,0
AKOLA,May,2010,8325,0
AKOLA,June,2010,8819,0
AKOLA,July,2010,17593,0
AKOLA,August,2010,5780,0
AKOLA,Sep,2010,7043,0
AKOLA,October,2010,7906,0
AKOLA,Nov,2010,8083,0
AKOLA,Dec,2010,8229,0
AMRAVATI,January,2010,118189,4
AMRAVATI,February,2010,119816,3
AMRAVATI,March,2010,111190,2
AMRAVATI,April,2010,99048,2
AMRAVATI,May,2010,101631,12
AMRAVATI,June,2010,105043,9
AMRAVATI,July,2010,18100,0
AMRAVATI,August,2010,89399,0
AMRAVATI,Sep,2010,53905,0
AMRAVATI,October,2010,96632,0
AMRAVATI,Nov,2010,105789,0
AMRAVATI,Dec,2010,106142,0
AURANGABAD,January,2010,933745,2544
AURANGABAD,February,2010,880658,3649
AURANGABAD,March,2010,838835,5959
AURANGABAD,April,2010,779018,6687
AURANGABAD,May,2010,796797,8822
AURANGABAD,June,2010,798114,12411
AURANGABAD,July,2010,181860,17775
AURANGABAD,August,2010,105777,15181
AURANGABAD,Sep,2010,91533,15696
AURANGABAD,October,2010,734309,12102
AURANGABAD,Nov,2010,711813,10154
AURANGABAD,Dec,2010,751963,6732
BEED,January,2010,777133,0
BEED,February,2010,655833,0
BEED,March,2010,621947,8
BEED,April,2010,604295,66
BEED,May,2010,639341,60
BEED,June,2010,625323,20
BEED,July,2010,8545,0
BEED,August,2010,10360,0
BEED,Sep,2010,14326,0
BEED,October,2010,20952,0
BEED,Nov,2010,128661,0
BEED,Dec,2010,237993,0
BHANDARA,January,2010,7150,0
BHANDARA,February,2010,6925,16
BHANDARA,March,2010,5566,3
BHANDARA,April,2010,5462,2
BHANDARA,May,2010,5588,0
BHANDARA,June,2010,5712,0
BHANDARA,July,2010,5856,0
BHANDARA,August,2010,129088,0
BHANDARA,Sep,2010,88934,0
BHANDARA,October,2010,103979,0
BHANDARA,Nov,2010,11374,0
BHANDARA,Dec,2010,7845,0
BULDHANA,January,2010,252780,11
BULDHANA,February,2010,201042,141
BULDHANA,March,2010,185849,121
BULDHANA,April,2010,182118,66
BULDHANA,May,2010,191956,69
BULDHANA,June,2010,169947,129
BULDHANA,July,2010,1365,344
BULDHANA,August,2010,84061,188
BULDHANA,Sep,2010,57286,187
BULDHANA,October,2010,147115,126
BULDHANA,Nov,2010,176412,162
BULDHANA,Dec,2010,173634,144
CHANDRAPUR,January,2010,229372,0
CHANDRAPUR,February,2010,215365,85
CHANDRAPUR,March,2010,207596,25
CHANDRAPUR,April,2010,193346,441
CHANDRAPUR,May,2010,205510,426
CHANDRAPUR,June,2010,196228,305
CHANDRAPUR,July,2010,20137,172
CHANDRAPUR,August,2010,232097,126
CHANDRAPUR,Sep,2010,103779,121
CHANDRAPUR,October,2010,190497,116
CHANDRAPUR,Nov,2010,191423,117
CHANDRAPUR,Dec,2010,185277,85
DHULE,January,2010,8490,0
DHULE,February,2010,7618,0
DHULE,March,2010,7010,0
DHULE,April,2010,6721,0
DHULE,May,2010,7279,0
DHULE,June,2010,7465,9
DHULE,July,2010,747,0
DHULE,August,2010,5798,0
DHULE,Sep,2010,7659,0
DHULE,October,2010,7012,0
DHULE,Nov,2010,5213,0
DHULE,Dec,2010,5220,0
GADCHIROLI,January,2010,1475,8
GADCHIROLI,February,2010,887,0
GADCHIROLI,March,2010,858,0
GADCHIROLI,April,2010,826,0
GADCHIROLI,May,2010,1114,0
GADCHIROLI,June,2010,1211,2
GADCHIROLI,July,2010,3780,2
GADCHIROLI,August,2010,2919,0
GADCHIROLI,Sep,2010,7832,0
GADCHIROLI,October,2010,13934,0
GADCHIROLI,Nov,2010,1783,0
GADCHIROLI,Dec,2010,1058,0
GONDIA,January,2010,136764,0
GONDIA,February,2010,113880,0
GONDIA,March,2010,110075,0
GONDIA,April,2010,97569,0
GONDIA,May,2010,103513,3
GONDIA,June,2010,99391,6
GONDIA,July,2010,11725,18
GONDIA,August,2010,208125,0
GONDIA,Sep,2010,62206,0
GONDIA,October,2010,113437,0
GONDIA,Nov,2010,109457,0
GONDIA,Dec,2010,128015,0
HINGOLI,January,2010,349723,0
HINGOLI,February,2010,390545,0
HINGOLI,March,2010,367291,0
HINGOLI,April,2010,365064,0
HINGOLI,May,2010,367823,0
HINGOLI,June,2010,354088,0
HINGOLI,July,2010,14167,0
HINGOLI,August,2010,171932,0
HINGOLI,Sep,2010,132927,0
HINGOLI,October,2010,212737,0
HINGOLI,Nov,2010,197935,0
HINGOLI,Dec,2010,197498,0
JALGAON,January,2010,302972,0
JALGAON,February,2010,276305,0
JALGAON,March,2010,266593,0
JALGAON,April,2010,263714,10
JALGAON,May,2010,276106,15
JALGAON,June,2010,258495,31
JALGAON,July,2010,37774,0
JALGAON,August,2010,288455,17
JALGAON,Sep,2010,222767,17
JALGAON,October,2010,278052,10
JALGAON,Nov,2010,300584,8
JALGAON,Dec,2010,269485,10
JALNA,January,2010,180686,0
JALNA,February,2010,169531,0
JALNA,March,2010,165608,0
JALNA,April,2010,152101,0
JALNA,May,2010,172231,0
JALNA,June,2010,170179,0
JALNA,July,2010,22939,0
JALNA,August,2010,4974,0
JALNA,Sep,2010,36202,0
JALNA,October,2010,37107,0
JALNA,Nov,2010,89193,0
JALNA,Dec,2010,115282,0
KOLHAPUR,January,2010,524738,0
KOLHAPUR,February,2010,496482,0
KOLHAPUR,March,2010,483817,0
KOLHAPUR,April,2010,528010,50
KOLHAPUR,May,2010,544692,56
KOLHAPUR,June,2010,512352,118
KOLHAPUR,July,2010,74938,226
KOLHAPUR,August,2010,539092,195
KOLHAPUR,Sep,2010,541171,194
KOLHAPUR,October,2010,490884,188
KOLHAPUR,Nov,2010,455007,295
KOLHAPUR,Dec,2010,449571,214
LATUR,January,2010,24314,0
LATUR,February,2010,18609,0
LATUR,March,2010,17614,0
LATUR,April,2010,16011,0
LATUR,May,2010,17004,0
LATUR,June,2010,16011,0
LATUR,July,2010,0,0
LATUR,August,2010,0,0
LATUR,Sep,2010,0,0
LATUR,October,2010,0,0
LATUR,Nov,2010,0,0
LATUR,Dec,2010,0,0
MUMBAI,January,2010,2717633,93702
MUMBAI,February,2010,2616521,81367
MUMBAI,March,2010,2575980,83935
MUMBAI,April,2010,2472123,146902
MUMBAI,May,2010,2608030,145807
MUMBAI,June,2010,2524053,166260
MUMBAI,July,2010,1762909,176432
MUMBAI,August,2010,1686111,156735
MUMBAI,Sep,2010,1845983,148531
MUMBAI,October,2010,2493446,143712
MUMBAI,Nov,2010,2619456,156855
MUMBAI,Dec,2010,2769607,172209
NAGPUR,January,2010,433815,864
NAGPUR,February,2010,383685,3039
NAGPUR,March,2010,344484,490
NAGPUR,April,2010,323188,337
NAGPUR,May,2010,345177,161
NAGPUR,June,2010,338728,506
NAGPUR,July,2010,80281,1038
NAGPUR,August,2010,294612,571
NAGPUR,Sep,2010,343353,480
NAGPUR,October,2010,368089,353
NAGPUR,Nov,2010,359874,1309
NAGPUR,Dec,2010,397853,606
NANDURBAR,January,2010,267602,0
NANDURBAR,February,2010,234239,0
NANDURBAR,March,2010,221112,0
NANDURBAR,April,2010,194365,0
NANDURBAR,May,2010,203008,0
NANDURBAR,June,2010,197240,18
NANDURBAR,July,2010,26807,0
NANDURBAR,August,2010,207842,0
NANDURBAR,Sep,2010,144112,0
NANDURBAR,October,2010,187991,0
NANDURBAR,Nov,2010,229313,0
NANDURBAR,Dec,2010,246933,0
NASIK,January,2010,296518,22
NASIK,February,2010,346747,0
NASIK,March,2010,334902,21
NASIK,April,2010,316488,17
NASIK,May,2010,342147,28
NASIK,June,2010,330375,93
NASIK,July,2010,126633,851
NASIK,August,2010,299506,656
NASIK,Sep,2010,195967,648
NASIK,October,2010,332459,569
NASIK,Nov,2010,258844,1037
NASIK,Dec,2010,185459,1122
NANDED,January,2010,335351,116
NANDED,February,2010,293217,1
NANDED,March,2010,284105,198
NANDED,April,2010,273388,210
NANDED,May,2010,293482,313
NANDED,June,2010,273388,649
NANDED,July,2010,93277,19
NANDED,August,2010,7789,22
NANDED,Sep,2010,36898,21
NANDED,October,2010,83130,33
NANDED,Nov,2010,141864,36
NANDED,Dec,2010,153955,33
OSMANABAD,January,2010,396216,0
OSMANABAD,February,2010,375714,0
OSMANABAD,March,2010,361307,0
OSMANABAD,April,2010,353266,0
OSMANABAD,May,2010,356533,5
OSMANABAD,June,2010,348812,103
OSMANABAD,July,2010,125803,27
OSMANABAD,August,2010,9332,13
OSMANABAD,Sep,2010,293390,12
OSMANABAD,October,2010,711879,3
OSMANABAD,Nov,2010,468291,17
OSMANABAD,Dec,2010,332470,0
PARBHANI,January,2010,85611,0
PARBHANI,February,2010,94256,0
PARBHANI,March,2010,94223,0
PARBHANI,April,2010,84094,5
PARBHANI,May,2010,85951,0
PARBHANI,June,2010,85956,0
PARBHANI,July,2010,11891,0
PARBHANI,August,2010,1995,0
PARBHANI,Sep,2010,42123,0
PARBHANI,October,2010,64742,0
PARBHANI,Nov,2010,84804,0
PARBHANI,Dec,2010,84652,0
PUNE,January,2010,836132,1862
PUNE,February,2010,852745,2964
PUNE,March,2010,834520,8594
PUNE,April,2010,810851,15856
PUNE,May,2010,859006,14319
PUNE,June,2010,859110,20053
PUNE,July,2010,440089,39238
PUNE,August,2010,543606,35668
PUNE,Sep,2010,582084,34914
PUNE,October,2010,837911,33470
PUNE,Nov,2010,598318,43060
PUNE,Dec,2010,724748,37555
RAIGHAD,January,2010,227088,7
RAIGHAD,February,2010,205294,0
RAIGHAD,March,2010,197198,129
RAIGHAD,April,2010,181223,429
RAIGHAD,May,2010,189212,867
RAIGHAD,June,2010,183158,813
RAIGHAD,July,2010,6812,250
RAIGHAD,August,2010,25931,208
RAIGHAD,Sep,2010,75546,208
RAIGHAD,October,2010,112573,189
RAIGHAD,Nov,2010,166369,257
RAIGHAD,Dec,2010,179157,255
RATNAGIRI,January,2010,91542,0
RATNAGIRI,February,2010,80313,0
RATNAGIRI,March,2010,74554,0
RATNAGIRI,April,2010,72268,7
RATNAGIRI,May,2010,73505,7
RATNAGIRI,June,2010,70593,10
RATNAGIRI,July,2010,14990,48
RATNAGIRI,August,2010,45276,42
RATNAGIRI,Sep,2010,52964,38
RATNAGIRI,October,2010,60716,29
RATNAGIRI,Nov,2010,64292,63
RATNAGIRI,Dec,2010,88117,35
SANGLI,January,2010,57321,4
SANGLI,February,2010,52685,11
SANGLI,March,2010,49095,5
SANGLI,April,2010,46879,8
SANGLI,May,2010,48196,7
SANGLI,June,2010,50179,0
SANGLI,July,2010,3570,9
SANGLI,August,2010,36856,4
SANGLI,Sep,2010,37372,3
SANGLI,October,2010,54240,7
SANGLI,Nov,2010,40850,7
SANGLI,Dec,2010,58057,7
SATARA,January,2010,194711,8
SATARA,February,2010,173520,6
SATARA,March,2010,161150,0
SATARA,April,2010,155890,309
SATARA,May,2010,166118,381
SATARA,June,2010,159929,366
SATARA,July,2010,69464,554
SATARA,August,2010,65546,440
SATARA,Sep,2010,49437,468
SATARA,October,2010,83490,356
SATARA,Nov,2010,106684,864
SATARA,Dec,2010,165042,1024
SINDHUDURG,January,2010,128919,0
SINDHUDURG,February,2010,120329,0
SINDHUDURG,March,2010,112829,16
SINDHUDURG,April,2010,98168,221
SINDHUDURG,May,2010,102764,224
SINDHUDURG,June,2010,103693,234
SINDHUDURG,July,2010,1307,95
SINDHUDURG,August,2010,34639,55
SINDHUDURG,Sep,2010,29171,55
SINDHUDURG,October,2010,50309,53
SINDHUDURG,Nov,2010,51294,55
SINDHUDURG,Dec,2010,83442,53
SOLAPUR,January,2010,429660,0
SOLAPUR,February,2010,392801,0
SOLAPUR,March,2010,373884,0
SOLAPUR,April,2010,363952,7
SOLAPUR,May,2010,392081,14
SOLAPUR,June,2010,380630,16
SOLAPUR,July,2010,195348,9
SOLAPUR,August,2010,317312,4
SOLAPUR,Sep,2010,160348,4
SOLAPUR,October,2010,340352,5
SOLAPUR,Nov,2010,391205,6
SOLAPUR,Dec,2010,375554,6
THANE,January,2010,159943,97
THANE,February,2010,144994,0
THANE,March,2010,135288,0
THANE,April,2010,125224,309
THANE,May,2010,132390,583
THANE,June,2010,129054,349
THANE,July,2010,13195,1243
THANE,August,2010,118406,1095
THANE,Sep,2010,118353,1116
THANE,October,2010,161956,1139
THANE,Nov,2010,201031,1365
THANE,Dec,2010,160996,1252
WARDHA,January,2010,21554,0
WARDHA,February,2010,21157,22
WARDHA,March,2010,19514,45
WARDHA,April,2010,17718,231
WARDHA,May,2010,18527,40
WARDHA,June,2010,18734,39
WARDHA,July,2010,13626,95
WARDHA,August,2010,3301,22
WARDHA,Sep,2010,6453,20
WARDHA,October,2010,7730,14
WARDHA,Nov,2010,17573,25
WARDHA,Dec,2010,18966,26
WASHIM,January,2010,19216,0
WASHIM,February,2010,15478,0
WASHIM,March,2010,14664,0
WASHIM,April,2010,13167,0
WASHIM,May,2010,14526,9
WASHIM,June,2010,14365,12
WASHIM,July,2010,5940,0
WASHIM,August,2010,3521,0
WASHIM,Sep,2010,6517,0
WASHIM,October,2010,19206,0
WASHIM,Nov,2010,15467,0
WASHIM,Dec,2010,15476,0
YAVATMAL,January,2010,166323,0
YAVATMAL,February,2010,146969,20
YAVATMAL,March,2010,134695,0
YAVATMAL,April,2010,123846,0
YAVATMAL,May,2010,129096,0
YAVATMAL,June,2010,124914,0
YAVATMAL,July,2010,25535,0
YAVATMAL,August,2010,158987,0
YAVATMAL,Sep,2010,78018,0
YAVATMAL,October,2010,137343,0
YAVATMAL,Nov,2010,142551,0
YAVATMAL,Dec,2010,133510,0
